FIPS,FIPSTEXT,y17_M110_valueText,y17_M110_classRange,y17_M110_valueNumeric,y17_M111_valueText,y17_M111_classRange,y17_M111_valueNumeric,y17_M112_valueText,y17_M112_classRange,y17_M112_valueNumeric,y17_M113_valueText,y17_M113_classRange,y17_M113_valueNumeric,y17_M114_valueText,y17_M114_classRange,y17_M114_valueNumeric,y17_M115_valueText,y17_M115_classRange,y17_M115_valueNumeric,y17_M116_valueText,y17_M116_classRange,y17_M116_valueNumeric,y17_M117_valueText,y17_M117_classRange,y17_M117_valueNumeric,y17_M118_valueText,y17_M118_classRange,y17_M118_valueNumeric,y17_M119_valueText,y17_M119_classRange,y17_M119_valueNumeric,y17_M120_valueText,y17_M120_classRange,y17_M120_valueNumeric,y17_M121_valueText,y17_M121_classRange,y17_M121_valueNumeric,y17_M122_valueText,y17_M122_classRange,y17_M122_valueNumeric
42007,42007,-0.35,Sparse Data,-0.35,13,10 - 24,13.00,3856,"Less than 10,000",3856.00,55.26,55 - 64,55.26,0.02,Sparse Data,0.02,0.99,Sparse Data,0.99,2437,"Less than 20,000",2437.00,(D),Sparse Data,,-0.06,Sparse Data,-0.06,422,100 - 499,422.00,143,100 - 499,143.00,210,100 - 499,210.00,1129,"1,000 - 1,499",1129.00
42009,42009,-0.32,Sparse Data,-0.32,20,10 - 24,20.00,21175,"10,000 - 24,999",21175.00,46.94,45 - 54,46.94,-1.65,Slight Decrease,-1.65,1.08,Slight Increase,1.08,20464,"20,000 - 49,999",20464.00,2.04,Significant Increase,2.04,0.28,Negligible Change,0.28,1757,"1,500 - 1,999",1757.00,202,100 - 499,202.00,1498,"1,000 - 1,499",1498.00,1093,"1,000 - 1,499",1093.00
42011,42011,0.47,Negligible Change,0.47,38,25 - 49,38.00,35649,"25,000 - 49,999",35649.00,41.65,35 - 44,41.65,1.21,Slight Increase,1.21,1.35,Slight Increase,1.35,37641,"20,000 - 49,999",37641.00,0.42,Sparse Data,0.42,0.39,Negligible Change,0.39,2197,"2,000 or more",2197.00,938,500 - 999,938.00,1230,"1,000 - 1,499",1230.00,2004,"2,000 or more",2004.00
42013,42013,-0.44,Negligible Change,-0.44,50,50 or more,50.00,20895,"10,000 - 24,999",20895.00,53.27,45 - 54,53.27,-0.02,Sparse Data,-0.02,1.74,Sparse Data,1.74,15970,"Less than 20,000",15970.00,(D),Sparse Data,,-0.14,Sparse Data,-0.14,1002,"1,000 - 1,499",1002.00,(D),100 - 499,,680,500 - 999,680.00,756,500 - 999,756.00
42015,42015,-0.85,Negligible Change,-0.85,16,10 - 24,16.00,25109,"25,000 - 49,999",25109.00,52.97,45 - 54,52.97,-0.50,Negligible Change,-0.50,1.40,Slight Increase,1.40,15469,"Less than 20,000",15469.00,(D),Slight Increase,,0.05,Sparse Data,0.05,869,500 - 999,869.00,197,100 - 499,197.00,573,500 - 999,573.00,1133,"1,000 - 1,499",1133.00
42017,42017,1.92,Slight Increase,1.92,13,10 - 24,13.00,4019,"Less than 10,000",4019.00,41.37,35 - 44,41.37,2.62,Significant Increase,2.62,1.20,Sparse Data,1.20,3492,"Less than 20,000",3492.00,0.97,Sparse Data,0.97,-0.22,Sparse Data,-0.22,768,500 - 999,768.00,132,100 - 499,132.00,552,500 - 999,552.00,1971,"1,500 - 1,999",1971.00
42019,42019,1.06,Slight Increase,1.06,13,10 - 24,13.00,7695,"Less than 10,000",7695.00,44.28,35 - 44,44.28,1.59,Sparse Data,1.59,0.36,Sparse Data,0.36,6931,"Less than 20,000",6931.00,0.64,Sparse Data,0.64,0.07,Sparse Data,0.07,1202,"1,000 - 1,499",1202.00,(D),100 - 499,,865,500 - 999,865.00,1470,"1,000 - 1,499",1470.00
42021,42021,0.25,Sparse Data,0.25,11,10 - 24,11.00,3743,"Less than 10,000",3743.00,43.17,35 - 44,43.17,-1.37,Sparse Data,-1.37,0.17,Sparse Data,0.17,2598,"Less than 20,000",2598.00,-1.16,Sparse Data,-1.16,0.61,Sparse Data,0.61,389,100 - 499,389.00,52,Less than 100,52.00,334,100 - 499,334.00,731,500 - 999,731.00
42023,42023,-2.99,Sparse Data,-2.99,6,Less than 10,6.00,170,"Less than 10,000",170.00,50.15,45 - 54,50.15,0.00,Sparse Data,0.00,1.90,Sparse Data,1.90,115,"Less than 20,000",115.00,-1.64,Sparse Data,-1.64,0.00,Sparse Data,0.00,0,Less than 100,0.00,0,Less than 100,0.00,0,Less than 100,0.00,53,Less than 100,53.00
42025,42025,0.11,Sparse Data,0.11,8,Less than 10,8.00,951,"Less than 10,000",951.00,64.47,55 - 64,64.47,(D),Sparse Data,,(D),Sparse Data,,489,"Less than 20,000",489.00,1.23,Sparse Data,1.23,0.34,Sparse Data,0.34,52,Less than 100,52.00,13,Less than 100,13.00,33,Less than 100,33.00,219,100 - 499,219.00
